Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,35600,38500,34550,36000,24555.49805,2341000
2000-01-05,34500,35700,33500,34000,23191.30273,1681900
2000-01-06,36900,36900,34500,35000,23873.40039,2995600
2000-01-07,34500,38600,34200,36800,25101.17383,2708600
2000-01-10,37500,38000,36100,36600,24964.75391,1547700
2000-01-11,37500,37600,36300,36300,24760.12891,1267800
2000-01-12,36000,37000,35800,36500,24896.54883,1396000
2000-01-13,36000,37000,35700,36000,24555.49805,1743500
2000-01-14,36000,36700,35000,35650,24316.76367,1375600
2000-01-17,35100,36300,35100,36100,24623.70508,1217700
2000-01-18,37100,38600,36300,36300,24760.12891,2569900
2000-01-19,36300,36300,34200,35000,23873.40039,2117600
2000-01-20,34500,36000,34500,36000,24555.49805,1256400
2000-01-21,35200,35800,34000,34700,23668.77344,1271100
2000-01-24,34400,35700,34200,35100,23941.61328,1027200
2000-01-25,34200,34500,33450,33450,22816.15039,1145300
2000-01-26,33700,34000,33100,34000,23191.30273,783600
2000-01-27,33500,34500,33000,33850,23088.98633,804700
2000-01-28,34300,34850,33800,34850,23771.08789,955300
2000-01-31,33500,34900,33500,34700,23668.77344,1230300
2000-02-01,34250,35200,33800,34000,23191.30273,1274200
2000-02-02,34150,35100,34100,35100,23941.61328,1027700
2000-02-03,35500,36000,34600,35800,24419.08008,1068200
2000-02-04,35800,35800,35800,35800,24419.08008,0
2000-02-07,34500,35500,34500,35000,23873.40039,2192600
2000-02-08,34500,35300,34500,34700,23668.77344,1433200
2000-02-09,34300,34300,33000,33100,22577.41797,3708300
2000-02-10,32600,32800,30650,31300,21349.63867,5010800
2000-02-11,31300,31300,28750,28900,19712.60938,6473700
2000-02-14,28500,29450,26500,27000,18416.625,4719800
2000-02-15,27150,27700,26500,27150,18518.94141,6444500
2000-02-16,27800,28500,27200,28500,19439.76758,4123700
2000-02-17,28500,31000,28400,30700,20940.38281,4609800
2000-02-18,30700,30700,28100,28100,19166.92969,2959100
2000-02-21,27500,28650,27100,27950,19064.61719,1906900
2000-02-22,27100,28600,27000,27000,18416.625,2054800
2000-02-23,27500,28300,27000,27400,18689.46094,2539300
2000-02-24,27900,28850,27600,28450,19405.66406,2935400
2000-02-25,27950,28200,27600,27600,18825.88477,1234700
2000-02-28,27900,28850,27600,28000,19098.71875,2472400
2000-02-29,28000,28400,27500,28300,19303.34961,2046200
2000-03-01,28300,28300,28300,28300,19303.34961,0
2000-03-02,28300,29500,27600,29000,19780.81836,3649000
2000-03-03,29000,29300,27600,27700,18894.09375,2223200
2000-03-06,28000,28100,27650,27900,19030.50977,1747100
2000-03-07,27500,27900,27200,27500,18757.67188,1920900
2000-03-08,27200,28300,27000,28100,19166.92969,2365500
2000-03-09,28050,28400,27000,27000,18416.625,3804800
2000-03-10,27900,27900,27000,27250,18587.15039,2473800
2000-03-13,27250,27300,24950,25400,17325.26758,2406400
2000-03-14,25400,26100,25000,25850,17632.21094,1896800
2000-03-15,25500,25550,24600,25100,17120.63867,1686700
2000-03-16,25500,26500,25350,26000,17734.52734,1870400
2000-03-17,27100,27250,26600,26600,18143.78125,1900000
2000-03-20,26900,27350,26500,27150,18518.94141,1271300
2000-03-21,27200,29400,27100,29100,19849.02734,3471200
2000-03-22,29150,29800,28550,28700,19576.18945,2696800
2000-03-23,28800,29300,28600,28600,19507.98047,1786100
2000-03-24,28750,30500,27900,29600,20190.07617,2108700
2000-03-27,29700,29900,28650,29500,20121.86719,1393700
2000-03-28,29300,30000,29000,30000,20462.91602,2032400
2000-03-29,30000,30900,29600,30700,20940.38281,2041100
2000-03-30,31000,33300,30700,32050,21861.21484,2913200
2000-03-31,31000,32450,30900,31500,21486.06055,1968700
2000-04-03,33000,33750,31900,33000,22509.20703,2777000
2000-04-04,32100,34700,32100,34200,23327.71875,4220100
2000-04-05,34200,34200,34200,34200,23327.71875,0
2000-04-06,33600,33800,31400,31500,21486.06055,2612000
2000-04-07,31100,32800,30800,32000,21827.10938,1698400
2000-04-10,32000,33750,31500,33250,22679.73242,2476100
2000-04-11,33000,33250,31500,33250,22679.73242,1929200
2000-04-12,32400,32550,31550,31600,21554.27148,2199700
2000-04-13,31600,31600,31600,31600,21554.27148,0
2000-04-14,30400,31200,30100,30700,20940.38281,2399700
2000-04-17,26400,29650,26100,27250,18587.15039,4504900
2000-04-18,29150,29800,28250,29800,20326.49414,3715900
