Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,27950,27950,24450,25000,18529.3457,37700
2000-01-05,24500,25700,24500,25700,19048.16602,34200
2000-01-06,25000,25000,23900,25000,18529.3457,31400
2000-01-07,23600,25900,23600,24400,18084.64063,19700
2000-01-10,25700,25900,24100,25300,18751.69922,17100
2000-01-11,25600,25600,24300,25200,18677.58008,28900
2000-01-12,24500,25700,23600,25700,19048.16602,145000
2000-01-13,25500,26800,23500,23500,17417.58398,113900
2000-01-14,23700,24200,23100,23300,17269.35352,20400
2000-01-17,23100,23100,22100,23000,17046.99805,76900
2000-01-18,22200,23000,20550,22000,16305.8252,100400
2000-01-19,20650,21300,20250,20900,15490.5332,108000
2000-01-20,19800,20900,18700,19600,14527.00488,73400
2000-01-21,18800,19500,18200,19300,14304.6543,76400
2000-01-24,18800,19700,18800,19300,14304.6543,38600
2000-01-25,19300,19300,18500,19100,14156.4209,31600
2000-01-26,19150,20200,19100,19900,14749.36035,31700
2000-01-27,19500,20800,19000,20300,15045.8291,18300
2000-01-28,20500,20500,19150,19200,14230.53906,36100
2000-01-31,19100,19700,18500,18750,13897.00977,125600
2000-02-01,19500,19500,18800,19500,14452.88867,54300
2000-02-02,19000,19900,19000,19500,14452.88867,48200
2000-02-03,19900,20200,19600,19850,14712.30273,45100
2000-02-04,19850,19850,19850,19850,14712.30273,0
2000-02-07,19600,20800,19600,20500,15194.06348,52900
2000-02-08,20400,20500,19600,19950,14786.42188,36000
2000-02-09,19950,21700,19500,19950,14786.42188,249700
2000-02-10,19800,19800,18700,18800,13934.07031,76300
2000-02-11,18800,19200,17500,17900,13267.0127,95300
2000-02-14,17000,17900,16600,16800,12451.72168,58900
2000-02-15,16300,16800,15100,15500,11488.19629,73300
2000-02-16,15300,16000,14100,14800,10969.37109,179500
2000-02-17,14950,16100,14800,15050,11154.66602,371100
2000-02-18,15450,15800,14100,14400,10672.90137,446100
2000-02-21,14200,14350,12800,13050,9672.318359,110000
2000-02-22,12700,13400,12000,12600,9338.790039,266600
2000-02-23,14000,14450,13200,14450,10709.96094,497700
2000-02-24,14800,15900,14500,15300,11339.95898,713900
2000-02-25,15450,15950,14800,15350,11377.02051,326000
2000-02-28,14900,16350,14300,16000,11858.78125,462000
2000-02-29,16150,16400,14900,15300,11339.95898,279800
2000-03-01,15300,15300,15300,15300,11339.95898,0
2000-03-02,15300,15500,14600,14850,11006.43164,233300
2000-03-03,15000,15200,13800,14100,10450.55078,228200
2000-03-06,14100,15700,14100,15450,11451.13672,489800
2000-03-07,15950,16800,15100,16200,12007.01758,624600
2000-03-08,15900,17550,15600,16200,12007.01758,541100
2000-03-09,16700,17000,16000,16000,11858.78125,349900
2000-03-10,16250,16500,15600,15700,11636.42871,207200
2000-03-13,15700,16850,15500,16400,12155.25098,316500
2000-03-14,16400,17300,15700,17000,12599.95703,290100
2000-03-15,17500,19000,16700,17400,12896.42285,1059100
2000-03-16,18300,18300,15800,16500,12229.36816,274400
2000-03-17,16500,16800,15900,16100,11932.90039,131000
2000-03-20,15500,16200,15500,16000,11858.78125,108900
2000-03-21,15600,16500,15600,16000,11858.78125,102500
2000-03-22,16200,16800,15650,16200,12007.01758,164200
2000-03-23,16000,16400,15500,15700,11636.42871,85800
2000-03-24,15700,16400,14550,15700,11636.42871,186900
2000-03-27,15950,16300,15200,16100,11932.90039,145100
2000-03-28,16350,17850,16150,17350,12859.36719,386100
2000-03-29,16850,17900,16550,16700,12377.60449,254400
