Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,21350,24000,21350,22000,10522.70801,309700
2000-01-05,22200,22950,21400,21600,10331.38477,431700
2000-01-06,21650,22200,20800,20950,10020.48633,379400
2000-01-07,20450,21500,20200,20400,9757.418945,356400
2000-01-10,20550,21000,20300,20400,9757.418945,327400
2000-01-11,20700,21800,20700,21350,10211.81055,582300
2000-01-12,21350,21400,20700,21050,10068.31738,306200
2000-01-13,21000,21100,20500,20500,9805.25,778600
2000-01-14,20800,20950,20200,20700,9900.910156,382300
2000-01-17,21100,22500,21000,22500,10761.8584,658300
2000-01-18,22400,22400,21050,22000,10522.70801,331700
2000-01-19,21500,21700,20500,20500,9805.25,396000
2000-01-20,20500,21000,20500,20900,9996.572266,365200
2000-01-21,21200,23250,20900,23000,11001.01172,1326900
2000-01-24,23200,25800,22700,24000,11479.31738,1358500
2000-01-25,24000,24600,23400,23900,11431.48633,665400
2000-01-26,23500,24000,23000,23400,11192.33106,397200
2000-01-27,22700,23400,22000,23400,11192.33106,432500
2000-01-28,23800,25400,23650,24900,11909.79297,893200
2000-01-31,24200,25700,24050,24950,11933.70606,801400
2000-02-01,24950,25000,24000,24800,11861.95996,349800
2000-02-02,24700,24900,24250,24800,11861.95996,310000
2000-02-03,24900,25100,24500,25000,11957.62305,385800
2000-02-04,25000,25000,25000,25000,11957.62305,0
2000-02-07,25000,25200,24600,24950,11933.70606,473800
2000-02-08,24600,25100,24400,25100,12005.45117,840900
2000-02-09,24800,25150,24500,25000,11957.62305,650700
2000-02-10,24500,25000,23500,23750,11359.74121,561000
2000-02-11,24300,24900,23300,24800,11861.95996,518800
2000-02-14,23700,24700,23450,23700,11335.8252,402900
2000-02-15,23000,24000,22800,23500,11240.16504,613400
2000-02-16,23150,24050,21300,24050,11503.23242,393200
2000-02-17,23500,24900,23250,24300,11622.80762,455800
2000-02-18,24100,24500,23100,23800,11383.65723,554000
2000-02-21,23150,24200,22100,22100,10570.53809,769200
2000-02-22,22500,25000,22500,25000,11957.62305,1321500
2000-02-23,25200,27000,25200,26500,12675.07813,1293800
2000-02-24,26900,27800,26400,27500,13153.38379,905700
2000-02-25,27500,27500,26400,27200,13009.89063,310600
2000-02-28,27000,27200,26000,27200,13009.89063,254200
2000-02-29,27200,27700,26200,27700,13249.04297,546200
2000-03-01,27700,27700,27700,27700,13249.04297,0
2000-03-02,27500,27500,26200,26500,12675.07813,527700
2000-03-03,26200,26200,25200,25200,12053.28027,231000
2000-03-06,25250,26450,25200,26450,12651.16113,254200
2000-03-07,26000,26750,25500,26750,12794.65625,208000
2000-03-08,25600,26750,25550,26650,12746.82422,172000
2000-03-09,26000,26500,22900,22900,10953.18164,717100
2000-03-10,24500,24900,24000,24750,11838.0459,593800
2000-03-13,24200,24250,23500,23500,11240.16504,322200
2000-03-14,23000,25000,23000,25000,11957.62305,304700
2000-03-15,25000,25000,24050,25000,11957.62305,253100
2000-03-16,24700,25750,24600,25500,12196.77148,234100
2000-03-17,25950,26000,24950,25800,12340.26563,245700
2000-03-20,25800,26000,25150,26000,12435.92481,172100
2000-03-21,25700,26000,25150,25950,12412.01074,258800
2000-03-22,26000,26200,24800,24800,11861.95996,610100
2000-03-23,24800,25300,24000,24100,11527.14648,200800
2000-03-24,24500,24900,24150,24900,11909.79297,168600
2000-03-27,24800,24800,24100,24200,11574.97656,138000
2000-03-28,23700,26000,23700,26000,12435.92481,392700
2000-03-29,24900,25000,24150,24200,11574.97656,362200
2000-03-30,24500,24700,24000,24600,11766.29883,231300
2000-03-31,24800,25000,24150,24150,11551.0625,166100
2000-04-03,24900,24900,23700,23700,11335.8252,141400
2000-04-04,23200,24500,23200,23700,11335.8252,268100
2000-04-05,23700,23700,23700,23700,11335.8252,0
2000-04-06,24000,24000,23300,23900,11431.48633,122600
2000-04-07,23600,24200,23500,23750,11359.74121,134600
2000-04-10,23500,23900,22100,23900,11431.48633,463700
2000-04-11,23900,23950,23500,23750,11359.74121,179600
2000-04-12,23500,23750,22500,22500,10761.8584,313100
2000-04-13,22500,22500,22500,22500,10761.8584,0
2000-04-14,22700,22700,22100,22300,10666.19629,260500
2000-04-17,21000,23250,20500,22300,10666.19629,396600
2000-04-18,22500,23000,21200,22300,10666.19629,339600
2000-04-19,22300,22300,21600,22000,10522.70801,308700
2000-04-20,21900,22000,21350,22000,10522.70801,133800
2000-04-21,21500,22000,21500,22000,10522.70801,115400
2000-04-24,21850,22000,21400,21900,10474.87598,154000
2000-04-25,21600,22000,21600,22000,10522.70801,128600
2000-04-26,21800,22800,21100,21600,10331.38477,223900
2000-04-27,21450,22250,21350,21950,10498.79199,225000
2000-04-28,21500,22100,21250,21300,10187.89356,236400
2000-05-01,21300,21300,21300,21300,10187.89356,0
2000-05-02,21400,21400,20350,20950,10020.48633,320400
2000-05-03,21000,21000,20500,21000,10044.40332,206500
2000-05-04,20950,20950,20600,20950,10020.48633,132500
2000-05-05,20950,20950,20950,20950,10020.48633,0
2000-05-08,20900,21500,20650,21500,10283.55371,188200
2000-05-09,21500,21500,21500,21500,10283.55371,0
2000-05-10,22700,22900,22100,22700,10857.51953,298100
2000-05-11,22700,22700,22700,22700,10857.51953,0
2000-05-12,22700,22700,21700,21850,10450.96094,149900
2000-05-15,21300,21600,21050,21300,10187.89356,93400
2000-05-16,21300,21700,20850,21650,10355.30078,73300
2000-05-17,21150,21700,21050,21050,10068.31738,122100
2000-05-18,20500,21000,19000,20400,9757.418945,165900
2000-05-19,20000,21000,19550,21000,10044.40332,123700
2000-05-22,20900,20900,20000,20050,9590.010742,89200
2000-05-23,20050,21300,19900,20900,9996.572266,264500
2000-05-24,20650,21400,20200,20250,9685.673828,157900
2000-05-25,20500,20700,20050,20400,9757.418945,245000
2000-05-26,20300,20400,19800,20300,9709.587891,188700
2000-05-29,20000,20500,19850,19950,9542.181641,141500
2000-05-30,19950,19950,19950,19950,9542.181641,0
2000-05-31,20400,20500,20050,20500,9805.25,358200
2000-06-01,20500,20500,20050,20200,9661.757813,199900
2000-06-02,20050,20350,20000,20000,9566.098633,228100
2000-06-05,20200,20750,20100,20300,9709.587891,280000
2000-06-06,20300,20300,20300,20300,9709.587891,0
2000-06-07,20300,20450,19800,20000,9566.098633,500500
2000-06-08,20200,20900,19550,19550,9350.860352,689200
2000-06-09,20000,21800,19700,21500,10283.55371,824100
2000-06-12,22400,22400,21000,21500,10283.55371,600100
2000-06-13,21500,21500,20550,20550,9829.164063,277300
2000-06-14,20550,20850,20200,20550,9829.164063,247500
2000-06-15,21000,21300,20800,21000,10044.40332,641600
2000-06-16,21000,21300,20900,21000,10044.40332,360900
2000-06-19,20550,21000,20300,20300,9709.587891,187200
2000-06-20,20100,20700,20100,20300,9709.587891,141900
2000-06-21,20500,20500,20300,20300,9709.587891,171200
2000-06-22,20300,20850,20050,20300,9709.587891,229100
2000-06-23,20100,20650,20100,20500,9805.25,102600
2000-06-26,20100,20650,20100,20650,9876.995117,127600
2000-06-27,20750,20750,20350,20550,9829.164063,119400
2000-06-28,20700,21000,20350,20800,9948.740234,153500
2000-06-29,20750,20750,20150,20400,9757.418945,162600
2000-06-30,20450,20600,20300,20400,9757.418945,118200
2000-07-03,20200,20650,20200,20600,9853.078125,108300
2000-07-04,20300,20550,20250,20300,9709.587891,79800
2000-07-05,20250,20500,20100,20200,9661.757813,132500
2000-07-06,20300,20300,19950,20200,9661.757813,217400
2000-07-07,20200,20550,20050,20400,9757.418945,363900
2000-07-10,20400,20600,20200,20250,9685.673828,149000
2000-07-11,20250,20350,20000,20000,9566.098633,219600
2000-07-12,20000,20200,20000,20150,9637.84375,111700
2000-07-13,20050,20100,19850,19900,9518.267578,195600
2000-07-14,19950,20000,19700,20000,9566.098633,119500
2000-07-17,20000,20000,20000,20000,9566.098633,0
2000-07-18,19600,19700,19100,19150,9159.538086,141000
2000-07-19,19600,19700,19100,19150,9159.538086,141000
2000-07-20,19000,19800,19000,19800,9470.435547,170300
2000-07-21,19800,20000,19250,19800,9470.435547,96700
2000-07-24,19400,19800,19300,19700,9422.606445,114100
2000-07-25,19400,20000,19400,19650,9398.69043,200900
2000-07-26,19700,19700,18600,19100,9135.62207,204200
2000-07-27,18700,19450,18700,19350,9255.198242,132800
2000-07-28,19300,20000,19150,19650,9398.69043,183900
2000-07-31,19500,20300,19500,20200,9661.757813,172000
2000-08-01,20100,20300,19550,19950,9542.181641,203100
2000-08-02,19800,20500,19750,20300,9709.587891,139200
2000-08-03,20150,20200,19800,19800,9470.435547,165900
2000-08-04,19800,20000,19400,19400,9279.115234,92800
2000-08-07,19700,20000,19400,19950,9542.181641,142000
2000-08-08,19800,20250,19650,19650,9398.69043,131400
2000-08-09,19800,20400,19800,20300,9709.587891,180500
2000-08-10,20400,20700,19550,20700,9900.910156,324600
2000-08-11,19750,20350,19600,19950,9542.181641,221000
2000-08-14,20450,21000,20150,20500,9805.25,341600
2000-08-15,20500,20500,20500,20500,9805.25,0
2000-08-16,21000,21350,20800,20900,9996.572266,179200
2000-08-17,20100,20500,20000,20400,9757.418945,180200
2000-08-18,20100,20450,20000,20050,9590.010742,140000
2000-08-21,20000,20350,20000,20000,9566.098633,77700
2000-08-22,20000,20700,20000,20350,9733.50293,146700
2000-08-23,20700,20800,20000,20000,9566.098633,152500
2000-08-24,20000,20400,19750,20300,9709.587891,146700
2000-08-25,20200,20400,20000,20400,9757.418945,89700
2000-08-28,20400,20750,20250,20350,9733.50293,97600
2000-08-29,20350,20700,20050,20450,9781.335938,144500
2000-08-30,20200,20250,20050,20050,9590.010742,79400
2000-08-31,20000,20100,19400,19500,9326.943359,176000
2000-09-01,19700,20000,19500,19850,9494.352539,101200
2000-09-04,19800,19950,19250,19500,9326.943359,146200
2000-09-05,19500,20400,19500,20400,9757.418945,173200
2000-09-06,20100,20600,20000,20000,9566.098633,239500
2000-09-07,19700,20000,19300,19550,9350.860352,236700
2000-09-08,19550,19900,19000,19100,9135.62207,192600
2000-09-11,19100,19100,19100,19100,9135.62207,0
2000-09-12,19100,19100,19100,19100,9135.62207,0
2000-09-13,19100,19100,19100,19100,9135.62207,0
2000-09-14,18700,18950,17300,18000,8609.487305,597300
2000-09-15,17700,18350,17600,18300,8752.977539,342900
2000-09-18,17500,18250,17000,17550,8394.25,203900
2000-09-19,17150,18000,17150,17450,8346.418945,169100
2000-09-20,19600,19600,17550,17900,8561.657227,229300
2000-09-21,17700,17800,17050,17250,8250.757813,171300
2000-09-22,17250,17250,16400,16700,7987.689941,135400
2000-09-25,16400,17200,16400,17000,8131.183105,117000
2000-09-26,17000,17650,16650,17450,8346.418945,172500
2000-09-27,18000,19050,17900,18800,8992.132813,807700
2000-09-28,18500,18500,17800,18300,8752.977539,163100
2000-09-29,18300,18300,17700,18200,8705.148438,123400
2000-10-02,17800,18000,17600,17950,8585.572266,50300
2000-10-03,17950,17950,17950,17950,8585.572266,0
2000-10-04,17700,18450,17450,18450,8824.723633,147200
2000-10-05,18400,18500,17950,18100,8657.318359,1849200
2000-10-06,18100,18400,17750,18400,8800.80957,146800
2000-10-09,18050,18150,17700,17700,8465.996094,162500
2000-10-10,17600,17900,17350,17600,8418.165039,85400
2000-10-11,17400,17500,17000,17500,8370.334961,123200
2000-10-12,17150,18100,16600,16600,7939.860352,315800
2000-10-13,16600,17500,16300,17500,8370.334961,246100
2000-10-16,17500,17500,17500,17500,8370.334961,0
2000-10-17,18100,18500,17800,18400,8800.80957,305800
2000-10-18,18250,18700,17900,18500,8848.640625,372600
2000-10-19,18500,18800,17950,18500,8848.640625,374200
2000-10-20,18700,19100,18100,18600,8896.470703,355500
2000-10-23,18750,18750,18000,18050,8633.404297,122300
2000-10-24,17850,18750,17800,18600,8896.470703,197200
2000-10-25,19000,19000,18000,18700,8944.299805,218600
2000-10-26,18400,18850,18250,18650,8920.383789,136900
2000-10-27,18650,18650,18650,18650,8920.383789,0
2000-10-30,18300,18500,17850,17900,8561.657227,127600
2000-10-31,17600,18400,17200,18050,8633.404297,193300
2000-11-01,18250,19000,17900,19000,9087.792969,209900
2000-11-02,19000,19500,18500,19300,9231.282227,215400
2000-11-03,19300,19400,18600,19300,9231.282227,155600
2000-11-06,19100,19850,18500,18500,8848.640625,317600
2000-11-07,18900,19100,18300,18500,8848.640625,304800
2000-11-08,18200,18700,18000,18500,8848.640625,260600
2000-11-09,18200,18550,18050,18200,8705.148438,215300
2000-11-10,18200,18900,18000,18900,9039.961914,208700
2000-11-13,18250,18550,18000,18150,8681.232422,197800
2000-11-14,18000,18300,18000,18100,8657.318359,69900
2000-11-15,18450,18900,18050,18300,8752.977539,292300
2000-11-16,18200,18650,18200,18550,8872.555664,107600
2000-11-17,18250,18400,18050,18400,8800.80957,191600
2000-11-20,18400,18500,18300,18500,8848.640625,130800
2000-11-21,18400,18500,18200,18500,8848.640625,141200
2000-11-22,18300,18700,18150,18250,8729.063477,111500
2000-11-23,18100,18600,18000,18600,8896.470703,147000
2000-11-24,18350,18850,18350,18800,8992.132813,135700
2000-11-27,19000,19300,18800,18900,9039.961914,226100
2000-11-28,18900,19500,18500,18500,8848.640625,115400
2000-11-29,18200,18550,18000,18000,8609.487305,182300
2000-11-30,18000,18000,17500,17800,8513.825195,127000
2000-12-01,17300,19100,17300,19000,9087.792969,316600
2000-12-04,19000,19000,18100,18250,8729.063477,164000
2000-12-05,18250,18950,18250,18800,8992.132813,228500
2000-12-06,19000,19300,18400,18450,8824.723633,437600
2000-12-07,18500,18600,18150,18500,8848.640625,293300
2000-12-08,18250,18800,18250,18800,8992.132813,139300
2000-12-11,18800,19100,18600,18800,8992.132813,217400
2000-12-12,18800,19000,18250,19000,9087.792969,294700
2000-12-13,18900,19200,18500,19000,9087.792969,411100
2000-12-14,18500,18900,18300,18900,9039.961914,565500
2000-12-15,18500,18700,18250,18250,8729.063477,299400
2000-12-18,18250,18500,18150,18350,8776.893555,171100
2000-12-19,18350,18350,17900,18000,8609.487305,167600
2000-12-20,17750,18000,17700,18000,8609.487305,173400
2000-12-21,18000,18200,17600,18000,8609.487305,178700
2000-12-22,18150,18350,17900,18000,8609.487305,150900
2000-12-25,null,null,null,null,null,null
2000-12-26,18300,19000,18100,19000,9087.792969,270500
2000-12-27,null,null,null,null,null,null
2000-12-28,null,null,null,null,null,null
2000-12-29,null,null,null,null,null,null
2001-01-01,null,null,null,null,null,null
2001-01-02,18200,18450,17900,18200,8705.148438,197600
2001-01-03,18200,18300,17800,18000,8609.487305,189700
2001-01-04,18400,18750,18050,18050,8633.404297,378400
2001-01-05,18050,18200,17550,17600,8418.165039,531100
2001-01-08,17700,17900,17600,17750,8489.912109,278400
2001-01-09,17800,17950,17650,17950,8585.572266,264200
2001-01-10,17800,17900,17550,17550,8394.25,252800
2001-01-11,17450,17800,16600,16600,7939.860352,531000
2001-01-12,17200,17500,16900,17450,8346.418945,358400
2001-01-15,17200,17350,17000,17100,8179.012207,419100
2001-01-16,17000,17350,16900,17000,8131.183105,433000
2001-01-17,17100,17300,16900,17250,8250.757813,378700
2001-01-18,17050,17400,17050,17150,8202.928711,231500
2001-01-19,17150,17200,16900,17050,8155.100098,443500
2001-01-22,17150,17250,17000,17250,8250.757813,251400
2001-01-23,null,null,null,null,null,null
2001-01-24,null,null,null,null,null,null
2001-01-25,null,null,null,null,null,null
2001-01-26,17200,17250,16900,16900,8083.352051,200200
