Date,Open,High,Low,Close,Adj Close,Volume
2001-04-25,14500,14500,12350,13000,9023.053711,3094900
2001-04-26,14500,14500,12350,13000,9023.053711,3094900
2001-04-27,12150,12800,12000,12700,8814.829102,854300
2001-04-30,12450,12850,12450,12800,8884.237305,803200
2001-05-01,null,null,null,null,null,null
2001-05-02,12900,13250,12650,13000,9023.053711,851500
2001-05-03,13100,14950,12950,14950,10376.50977,3525500
2001-05-04,14950,15100,14250,14900,10341.80762,1314700
2001-05-07,null,null,null,null,null,null
2001-05-08,14500,15550,14450,14750,10237.69434,569500
2001-05-09,14400,14800,14400,14600,10133.58398,384100
2001-05-10,14600,15050,14350,14650,10168.28711,488100
2001-05-11,14750,15150,14700,14900,10341.80762,587700
2001-05-14,15000,15100,14700,14850,10307.10547,242700
2001-05-15,15100,15100,14600,14850,10307.10547,257400
2001-05-16,14750,14850,14150,14500,10064.17676,613600
2001-05-17,14850,15700,14600,15650,10862.36719,1695400
2001-05-18,16300,17950,16150,17550,12181.12109,2393500
2001-05-21,18500,18500,17500,18250,12666.97949,1283100
2001-05-22,18250,18400,17650,17800,12354.64258,750000
2001-05-23,18200,18950,17900,18400,12771.09277,718100
2001-05-24,18000,18700,17800,18600,12909.9082,311800
2001-05-25,18900,19400,18600,19050,13222.24316,475500
2001-05-28,19000,19150,18650,19000,13187.54004,318700
2001-05-29,18600,18900,18350,18900,13118.13281,401700
2001-05-30,18600,19500,18500,19350,13430.4707,464700
2001-05-31,18500,18950,18450,18700,12979.31641,413800
2001-06-01,18800,18900,17700,17700,12285.23535,381300
2001-06-04,17200,17900,17000,17400,12077.01172,383500
2001-06-05,17600,17850,17400,17400,12077.01172,602100
2001-06-06,null,null,null,null,null,null
2001-06-07,17400,17700,16850,16900,11729.96875,434600
2001-06-08,17000,18250,16900,18250,12666.97949,457700
2001-06-11,17800,18450,17600,18400,12771.09277,201700
2001-06-12,18300,18300,18000,18150,12597.57129,92000
2001-06-13,18150,18500,17800,17800,12354.64258,173600
2001-06-14,17700,18200,17600,18200,12632.27441,286600
2001-06-15,17900,17950,17350,17950,12458.75391,214900
2001-06-18,17500,17950,17450,17800,12354.64258,130600
2001-06-19,17550,17600,16950,17300,12007.60156,393700
2001-06-20,16800,17100,16650,16900,11729.96875,212000
2001-06-21,16600,16850,16000,16600,11521.74414,596900
2001-06-22,16400,17450,16400,17000,11799.37793,381200
2001-06-25,16550,17500,16550,17400,12077.01172,319500
2001-06-26,17400,17850,17000,17800,12354.64258,358000
2001-06-27,17800,18000,17350,18000,12493.45996,170900
2001-06-28,17800,18000,17350,17450,12111.71484,216100
2001-06-29,17600,17750,17200,17300,12007.60156,450900
2001-07-02,17250,17550,17200,17250,11972.89648,151600
2001-07-03,17300,17400,17100,17350,12042.30566,298700
2001-07-04,17100,17300,16850,17300,12007.60156,199000
2001-07-05,16850,17200,16850,17000,11799.37793,181200
2001-07-06,16650,17000,16650,16900,11729.96875,210800
2001-07-09,16700,16750,15800,16200,11244.11231,536700
2001-07-10,16300,16350,15700,15850,11001.18652,280300
2001-07-11,15500,16200,15050,15900,11035.8877,624400
2001-07-12,16200,16650,16200,16600,11521.74414,372000
2001-07-13,16600,16850,15900,16600,11521.74414,328000
2001-07-16,16100,16500,16050,16250,11278.81641,194500
2001-07-17,null,null,null,null,null,null
2001-07-18,15850,16200,15200,16000,11105.29492,502000
2001-07-19,15350,15700,15300,15500,10758.25781,117500
2001-07-20,15500,16000,15450,15500,10758.25781,271100
2001-07-23,15150,15500,15050,15200,10550.03223,136900
2001-07-24,15100,15100,14150,14600,10133.58398,333900
2001-07-25,14000,14700,14000,14600,10133.58398,189000
2001-07-26,14700,14700,14250,14600,10133.58398,241200
2001-07-27,14750,15250,14650,15100,10480.625,267500
2001-07-30,14800,14800,14600,14700,10202.99121,65600
2001-07-31,14350,14600,14250,14500,10064.17676,351100
2001-08-01,14500,14950,14350,14800,10272.40039,574300
2001-08-02,14950,14950,14350,14350,9960.0625,386100
2001-08-03,14400,15600,14400,15350,10654.14453,901000
2001-08-06,15000,15450,15000,15350,10654.14453,242900
2001-08-07,15000,15350,15000,15350,10654.14453,173000
2001-08-08,15500,15850,15400,15650,10862.36719,547200
2001-08-09,15300,15650,14850,14900,10341.80762,317100
2001-08-10,15000,15100,14700,14800,10272.40039,151400
2001-08-13,14850,15350,14650,15250,10584.73535,435800
2001-08-14,15300,15850,15250,15800,10966.48047,436100
2001-08-15,null,null,null,null,null,null
2001-08-16,15600,16700,15400,16150,11209.40918,572800
2001-08-17,16250,16750,16150,16700,11591.15332,750100
2001-08-20,16400,16400,16000,16100,11174.70606,164000
2001-08-21,16000,16400,15950,16200,11244.11231,154800
2001-08-22,16200,16300,15950,16100,11174.70606,138000
2001-08-23,16250,16400,16050,16300,11313.51953,132700
2001-08-24,16500,16500,15950,16200,11244.11231,93400
2001-08-27,16400,16850,16100,16700,11591.15332,222100
2001-08-28,16700,16800,16500,16700,11591.15332,131100
2001-08-29,16300,16700,16250,16500,11452.33691,137800
2001-08-30,16400,16600,16300,16500,11452.33691,179800
2001-08-31,16400,16600,15900,16000,11105.29492,498200
2001-09-03,16000,16150,15600,16150,11209.40918,406100
2001-09-04,16700,16700,15800,16150,11209.40918,365700
2001-09-05,16000,16550,16000,16400,11382.92969,121700
2001-09-06,16300,16550,15800,15900,11035.8877,301000
2001-09-07,16000,16300,15750,16300,11313.51953,70500
2001-09-10,16000,16100,15800,15800,10966.48047,108400
2001-09-11,16000,16550,15850,15850,11001.18652,306000
2001-09-12,13500,14500,13500,13500,9370.09375,500500
2001-09-13,13500,14750,13500,14600,10133.58398,248200
2001-09-14,14500,14600,14100,14500,10064.17676,221000
2001-09-17,14500,15000,13700,15000,10411.21582,144700
2001-09-18,15000,15200,14750,15000,10411.21582,159100
2001-09-19,15000,15000,14600,14900,10341.80762,64600
2001-09-20,14500,14650,14250,14500,10064.17676,162500
2001-09-21,14200,14500,14050,14500,10064.17676,139600
2001-09-24,null,null,null,null,null,null
2001-09-25,14450,14500,13700,13700,9508.90918,248800
2001-09-26,13700,13850,13600,13750,9543.614258,103000
2001-09-27,13550,13750,13550,13700,9508.90918,192100
2001-09-28,null,null,null,null,null,null
2001-10-01,null,null,null,null,null,null
2001-10-02,null,null,null,null,null,null
2001-10-03,null,null,null,null,null,null
2001-10-04,14500,14500,14200,14400,9994.767578,231600
2001-10-05,14600,14600,14200,14350,9960.0625,282700
2001-10-08,14350,14350,14200,14200,9855.951172,70900
2001-10-09,14300,14650,13900,14600,10133.58398,193200
2001-10-10,14800,14900,14500,14650,10168.28711,74800
2001-10-11,14900,15050,14700,14950,10376.50977,211100
2001-10-12,14800,15200,14750,14850,10307.10547,141400
2001-10-15,14550,14900,14400,14850,10307.10547,228500
2001-10-16,14950,15350,14900,15250,10584.73535,356700
2001-10-17,15500,16050,15250,15900,11035.8877,608900
2001-10-18,15900,16500,15300,16200,11244.11231,495100
2001-10-19,16200,16200,15800,16150,11209.40918,421500
