Date,Open,High,Low,Close,Adj Close,Volume
2004-07-23,31050,33800,29500,32750,29152.54688,2961400
2004-07-26,33000,34200,32750,33550,29864.66992,1063200
2004-07-27,33450,33500,32250,33300,29642.12891,535700
2004-07-28,33750,33900,33400,33800,30087.20508,479100
2004-07-29,33300,33600,33100,33250,29597.62109,189300
2004-07-30,33300,33750,33200,33400,29731.14844,180100
2004-08-02,32550,33000,31750,32450,28885.5,205400
2004-08-03,32000,32150,30750,31800,28306.89648,349800
2004-08-04,31350,32050,31100,31800,28306.89648,236000
2004-08-05,32500,33800,32300,33750,30042.69922,466400
2004-08-06,33350,34600,33300,34500,30710.31641,616200
2004-08-09,33900,34350,33200,34150,30398.76172,227500
2004-08-10,34000,34650,34000,34650,30843.83398,202300
2004-08-11,34850,36150,34850,35500,31600.46289,887700
2004-08-12,35100,35450,34800,35200,31333.42188,387900
2004-08-13,34700,35350,34350,35000,31155.39063,388900
2004-08-16,34900,35000,34000,34450,30665.80664,166000
2004-08-17,34750,35050,34450,34900,31066.37891,135800
2004-08-18,35000,36350,34800,36100,32134.56055,589400
2004-08-19,36150,38550,35950,37900,33736.83984,1083000
2004-08-20,37600,37600,36650,36900,32846.6875,610500
2004-08-23,36900,37350,36000,36150,32179.06836,331500
2004-08-24,36200,37050,35200,36600,32579.63867,662000
2004-08-25,36400,36900,35850,36250,32268.08594,366300
2004-08-26,36450,37150,36450,36900,32846.6875,465900
2004-08-27,37200,37250,36350,36650,32624.14453,368600
2004-08-30,36400,36850,34200,34600,30799.32617,1052700
2004-08-31,34100,34750,33900,34250,30487.77344,453600
2004-09-01,34250,35000,34100,34900,31066.37891,403300
2004-09-02,34550,34800,34400,34500,30710.31641,235200
2004-09-03,34600,34750,33400,33500,29820.16211,448900
2004-09-06,33100,33400,32600,33100,29464.09766,331500
2004-09-07,33300,33400,32800,32900,29286.06641,288800
2004-09-08,32600,33600,32600,33150,29508.60742,258000
2004-09-09,33050,33400,32750,33100,29464.09766,239400
2004-09-10,33350,35500,33200,35500,31600.46289,773600
2004-09-13,35500,35750,34950,35350,31466.94531,700400
2004-09-14,35550,35850,34700,35400,31511.45313,392600
2004-09-15,35350,35450,34900,35250,31377.93359,236200
2004-09-16,34600,35000,34200,34450,30665.80664,292600
2004-09-17,34800,34800,33650,33750,30042.69922,275000
2004-09-20,34050,34650,33900,34300,30532.2832,184500
2004-09-21,34000,34500,34000,34250,30487.77344,159800
2004-09-22,34250,34700,33800,34000,30265.24023,339800
2004-09-23,33550,34550,33550,34000,30265.24023,401800
2004-09-24,34100,35700,34100,34850,31021.86914,370900
2004-09-27,null,null,null,null,null,null
2004-09-28,null,null,null,null,null,null
2004-09-29,null,null,null,null,null,null
2004-09-30,35000,35600,35000,35100,31244.40625,230100
2004-10-01,35000,35500,34550,35500,31600.46289,240600
2004-10-04,36050,37100,36050,37100,33024.71484,731200
2004-10-05,36800,37900,36550,37500,33380.77734,468000
2004-10-06,37500,38000,37000,38000,33825.85156,421500
2004-10-07,37950,37950,36250,36900,32846.6875,354200
2004-10-08,36000,37500,36000,36850,32802.17578,422000
2004-10-11,36050,36500,35400,36000,32045.54492,336400
2004-10-12,34200,34300,32200,32250,28707.46875,1341800
2004-10-13,32800,33200,32050,32200,28662.96094,639900
2004-10-14,32400,33100,31650,32000,28484.92969,332100
2004-10-15,31600,33250,31600,32950,29330.57617,277000
2004-10-18,33100,33750,32900,33150,29508.60742,397700
2004-10-19,34000,35000,33900,34450,30665.80664,669000
2004-10-20,34450,35550,34000,34000,30265.24023,764300
2004-10-21,33800,34650,32700,33900,30176.2207,451800
2004-10-22,33900,35150,33700,34450,30665.80664,268000
2004-10-25,33300,33650,33000,33350,29686.63672,287300
2004-10-26,33350,33500,32100,32550,28974.51172,328700
2004-10-27,32500,32500,30900,31200,27772.80664,461000
2004-10-28,31600,31900,30750,31900,28395.91406,515700
2004-10-29,30750,31200,30250,31200,27772.80664,530400
2004-11-01,31000,31550,29950,30000,26704.62109,707400
2004-11-02,30100,31450,30100,31000,27594.77344,468800
2004-11-03,31150,32350,30850,32100,28573.94336,472200
2004-11-04,32050,32050,31000,31000,27594.77344,592800
2004-11-05,31700,33300,31600,32400,28840.99023,729800
2004-11-08,33000,33400,32750,32950,29330.57617,309700
2004-11-09,32900,33000,32250,33000,29375.08203,103400
2004-11-10,32650,33450,32650,33300,29642.12891,153200
2004-11-11,33050,34100,32700,33800,30087.20508,437100
2004-11-12,34200,35050,34150,34500,30710.31641,263400
2004-11-15,34500,35700,34050,34900,31066.37891,345900
2004-11-16,34900,35000,34250,34300,30532.2832,190200
2004-11-17,34100,36700,34100,35900,31956.5293,499400
2004-11-18,36750,36850,35200,35850,31912.02148,437300
2004-11-19,35800,36000,34400,35200,31333.42188,267800
2004-11-22,34250,34650,34000,34000,30265.24023,250500
2004-11-23,34300,34600,33950,34250,30487.77344,182200
2004-11-24,34500,36650,34000,36000,32045.54492,857800
2004-11-25,36500,38400,36250,37400,33291.75781,1273700
2004-11-26,38000,38250,35000,35850,31912.02148,677400
2004-11-29,36800,37000,35550,36400,32401.60938,520100
2004-11-30,36200,36600,36000,36300,32312.5918,183700
2004-12-01,36050,37500,36050,37000,32935.69531,334700
2004-12-02,37700,38250,37250,37650,33514.30469,289900
2004-12-03,38450,38700,36900,37150,33069.21875,257600
2004-12-06,37150,37150,35950,36350,32357.10156,219300
2004-12-07,35750,35850,35000,35500,31600.46289,352500
2004-12-08,35000,36750,34950,36750,32713.16016,427700
2004-12-09,36500,36700,35650,35650,31733.99023,644200
2004-12-10,36000,36300,34300,34900,31066.37891,266300
