Date,Open,High,Low,Close,Adj Close,Volume
2001-04-25,11900,13650,11900,13650,10584.07422,26100
2001-04-26,11900,13650,11900,13650,10584.07422,26100
2001-04-27,17950,17950,16600,17950,13918.25195,2002100
2001-04-30,18900,19500,17500,18000,13957.02051,1296800
2001-05-01,null,null,null,null,null,null
2001-05-02,18500,20700,17750,20700,16050.57422,1081000
2001-05-03,20700,20700,19750,20250,15701.64844,698700
2001-05-04,19500,19700,18600,18850,14616.10352,463800
2001-05-07,null,null,null,null,null,null
2001-05-08,18300,19000,18300,19000,14732.41211,396400
2001-05-09,19000,19350,18700,18950,14693.64453,136000
2001-05-10,18950,21750,18800,21750,16864.73828,1047100
2001-05-11,22200,24700,22100,24000,18609.36328,866400
2001-05-14,23150,23800,22250,23200,17989.05078,644800
2001-05-15,23300,24350,22700,23800,18454.2832,431100
2001-05-16,24000,24700,23300,23700,18376.74023,240300
2001-05-17,24100,26600,23300,24800,19229.67188,541600
2001-05-18,24550,26800,24550,25950,20121.375,703600
2001-05-21,26900,27900,26450,26800,20780.45898,294600
2001-05-22,26800,27500,25600,26400,20470.29688,389200
2001-05-23,26200,26200,25200,25900,20082.60156,358400
2001-05-24,25200,27500,25200,27150,21051.83984,544800
2001-05-25,27000,28150,27000,27950,21672.1543,442300
2001-05-28,27950,28400,27000,27500,21323.22852,153000
2001-05-29,27500,30000,27500,28900,22408.77344,552700
2001-05-30,28550,32800,28550,31600,24502.32617,626900
2001-05-31,31500,34500,30500,31600,24502.32617,432800
2001-06-01,31600,32700,29400,30000,23261.70313,489500
2001-06-04,30000,30850,27700,28150,21827.23242,256200
2001-06-05,27700,28650,27200,27300,21168.14844,332600
2001-06-06,null,null,null,null,null,null
2001-06-07,27600,28800,27600,28300,21943.54297,325300
2001-06-08,29000,30400,28300,30000,23261.70313,383800
2001-06-11,29300,30350,29300,30000,23261.70313,129900
2001-06-12,29550,30100,29200,29600,22951.54883,89400
2001-06-13,29100,29500,29100,29500,22874.00391,111700
2001-06-14,29300,31200,29050,30750,23843.24609,223400
2001-06-15,31000,31500,29800,30300,23494.32031,205900
2001-06-18,30700,30850,29500,29500,22874.00391,69500
2001-06-19,29000,29900,29000,29500,22874.00391,83800
2001-06-20,29800,31500,29500,31000,24037.0957,370400
2001-06-21,31000,31400,29000,29000,22486.31445,176300
2001-06-22,29050,29300,27700,29250,22680.16016,88400
2001-06-25,29300,31200,29300,30700,23804.47852,207300
2001-06-26,30900,30900,29300,29500,22874.00391,60100
2001-06-27,29700,30400,29300,29500,22874.00391,50700
2001-06-28,29000,29800,29000,29500,22874.00391,34700
2001-06-29,29550,30000,29050,29450,22835.24023,60300
2001-07-02,29100,29300,28200,28200,21866.00195,221100
2001-07-03,28500,28800,28000,28250,21904.77148,121300
2001-07-04,28300,28600,27300,28400,22021.08008,127300
2001-07-05,29300,29300,28000,28000,21710.92188,53800
2001-07-06,27000,27800,27000,27300,21168.14844,84700
2001-07-09,27000,27000,26100,27000,20935.53125,82300
2001-07-10,26550,27300,26150,26650,20664.15039,57100
2001-07-11,25700,26200,25700,26000,20160.14063,123900
2001-07-12,26050,27000,26050,26300,20392.76172,71900
2001-07-13,26800,27000,26400,26500,20547.83594,64300
2001-07-16,26500,27150,26000,26550,20586.60742,60900
2001-07-17,null,null,null,null,null,null
2001-07-18,26600,26900,26100,26400,20470.29688,40500
2001-07-19,26200,26600,25800,26000,20160.14063,47100
2001-07-20,26000,26750,26000,26300,20392.76172,99800
2001-07-23,26200,26250,23500,23800,18454.2832,124700
2001-07-24,23500,23500,22100,23100,17911.51172,86400
2001-07-25,23100,23100,22150,22900,17756.42969,58400
2001-07-26,23500,23600,22550,23050,17872.74219,64300
2001-07-27,23200,23700,22900,23400,18144.12695,97600
2001-07-30,23400,23400,22600,23000,17833.97266,50100
