Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,15500,16300,15400,15900,13558.89844,93100
2000-01-05,15900,16100,14450,15200,12961.9668,239500
2000-01-06,16000,16200,14500,14700,12535.58594,210300
2000-01-07,14500,16900,14500,16900,14411.6582,382700
2000-01-10,17600,19400,17400,18700,15946.62988,624300
2000-01-11,20000,21300,19500,20650,17609.51172,919100
2000-01-12,20650,20650,18300,19000,16202.45801,209900
2000-01-13,19000,19700,18200,19050,16245.09668,211700
2000-01-14,19700,19900,18100,18200,15520.24512,99900
2000-01-17,17700,18450,17600,17700,15093.86914,119800
2000-01-18,18150,19500,17900,18500,15776.0791,236500
2000-01-19,18150,18600,17550,17800,15179.14356,127700
2000-01-20,17700,18200,16450,17600,15008.59277,95100
2000-01-21,16800,17400,16350,16500,14070.55469,89600
2000-01-24,15900,16900,15350,16150,13772.09082,550900
2000-01-25,15600,16100,14900,14900,12706.13965,185400
2000-01-26,15500,15600,14700,15600,13303.07129,685400
2000-01-27,15700,17800,15400,17400,14838.04004,503500
2000-01-28,17300,18350,16800,17400,14838.04004,298900
2000-01-31,17300,17300,16900,17200,14667.48926,95100
2000-02-01,17500,18150,17300,17900,15264.42285,98700
2000-02-02,18000,18900,17700,18600,15861.35449,107400
2000-02-03,18400,18950,18000,18700,15946.62988,119100
2000-02-04,18700,18700,18700,18700,15946.62988,0
2000-02-07,18600,19450,18300,18700,15946.62988,177200
2000-02-08,18350,18900,17700,18300,15605.52539,112400
2000-02-09,18000,18450,18000,18300,15605.52539,132600
2000-02-10,18300,18350,17000,17000,14496.9375,94000
2000-02-11,17900,17900,16800,17800,15179.14356,123800
2000-02-14,18200,19500,16500,16700,14241.1084,270500
2000-02-15,16800,17650,16600,17000,14496.9375,129100
2000-02-16,17500,17800,16000,17500,14923.31641,73600
2000-02-17,16550,17950,16550,17800,15179.14356,79900
2000-02-18,17300,17500,16300,16700,14241.1084,166500
2000-02-21,15100,16400,15100,15800,13473.62305,85400
2000-02-22,15500,16200,15000,15000,12791.41309,78600
2000-02-23,15000,16400,14800,15200,12961.9668,190000
2000-02-24,15500,15900,15100,15750,13430.9834,109800
2000-02-25,15200,16100,15200,15200,12961.9668,95100
2000-02-28,15000,15850,15000,15150,12919.32715,121200
2000-02-29,15400,15550,15000,15500,13217.79395,157500
2000-03-01,15500,15500,15500,15500,13217.79395,0
2000-03-02,15600,16000,15400,16000,13644.17578,192100
2000-03-03,16500,16500,15100,15600,13303.07129,133800
2000-03-06,15950,16250,15500,16000,13644.17578,273300
2000-03-07,16000,16300,15500,15550,13260.43262,171700
2000-03-08,15500,15600,15200,15500,13217.79395,127200
2000-03-09,15650,15800,14500,14500,12365.03223,330800
2000-03-10,15450,15700,14900,15200,12961.9668,284300
2000-03-13,14800,15400,14700,14750,12578.22559,170600
2000-03-14,14500,15000,14200,14300,12194.48145,139300
2000-03-15,14200,14450,13550,13600,11597.54883,192600
2000-03-16,13900,14200,13600,13800,11768.10156,156800
2000-03-17,14400,15850,14400,15500,13217.79395,777100
2000-03-20,15300,15400,14300,14500,12365.03223,159100
2000-03-21,15000,15450,14700,14900,12706.13965,224100
2000-03-22,14900,15300,14300,14650,12492.94629,280200
2000-03-23,14750,14950,14400,14550,12407.67285,112000
2000-03-24,14600,15150,14300,15000,12791.41309,194400
2000-03-27,15000,15000,14500,14500,12365.03223,122300
2000-03-28,14750,14950,14500,14700,12535.58594,110100
2000-03-29,14500,14600,14000,14100,12023.92969,503100
2000-03-30,14600,15450,14350,14700,12535.58594,593700
2000-03-31,15000,16100,14800,15150,12919.32715,678300
2000-04-03,15700,15950,15000,15650,13345.70996,595800
2000-04-04,15700,16200,15100,15650,13345.70996,401200
