Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,134000,143500,129000,142000,105379.3672,971800
2000-01-05,135000,156000,135000,149500,110945.1719,2885100
2000-01-06,150500,152500,140500,144500,107234.6172,659800
2000-01-07,144500,147500,143000,145000,107605.6719,511600
2000-01-10,146000,147000,141000,143000,106121.4531,412700
2000-01-11,144000,151000,143500,148000,109832.0078,825400
2000-01-12,146500,151000,144000,147000,109089.8984,526200
2000-01-13,150000,150000,145500,146500,108718.8594,554500
2000-01-14,145500,148500,145000,145500,107976.7188,413500
2000-01-17,146000,149000,144500,149000,110574.0938,289700
2000-01-18,148000,149000,141000,145500,107976.7188,296200
2000-01-19,143000,143000,132000,132000,97958.28125,374800
2000-01-20,132000,137500,128000,137500,102039.8594,258200
2000-01-21,136500,136500,128500,130000,96474.05469,261300
2000-01-24,129500,133000,129000,129500,96103.00781,217600
2000-01-25,127000,130500,123500,127500,94618.78125,243700
2000-01-26,130000,130500,127500,130000,96474.05469,186200
2000-01-27,127000,130000,126000,129000,95731.95313,211800
2000-01-28,130000,133000,128000,132000,97958.28125,213700
2000-01-31,130000,135500,127500,133000,98700.38281,265600
2000-02-01,133500,134000,129000,129500,96103.00781,216800
2000-02-02,129500,132000,129000,130000,96474.05469,184600
2000-02-03,132000,134500,130000,134000,99442.5,169500
2000-02-04,134000,134000,134000,134000,99442.5,0
2000-02-07,132000,134000,130500,131000,97216.15625,270200
2000-02-08,130000,131500,128500,129000,95731.95313,293800
2000-02-09,129000,131500,128000,128500,95360.89844,323700
2000-02-10,128000,128500,123000,123000,91279.29688,537400
2000-02-11,123000,126500,118000,123000,91279.29688,1213800
2000-02-14,118000,121500,107500,110000,81631.89063,818400
2000-02-15,108000,110000,99000,99800,74062.39844,975000
2000-02-16,100500,102500,97500,100000,74210.83594,883300
2000-02-17,101000,112500,100500,110000,81631.89063,1076000
2000-02-18,115000,116500,106500,108500,80518.73438,812900
2000-02-21,106500,107000,101500,101500,75323.98438,376200
2000-02-22,100000,105500,99800,103000,76437.13281,327900
2000-02-23,104500,110000,102000,110000,81631.89063,468900
2000-02-24,105000,112000,105000,112000,83116.10938,397000
2000-02-25,110000,120000,109000,117000,86826.65625,546300
2000-02-28,117000,118500,111000,111500,82745.05469,424300
2000-02-29,114000,117500,106000,111500,82745.05469,445600
2000-03-01,111500,111500,111500,111500,82745.05469,0
2000-03-02,112000,114000,108000,110500,82002.95313,700600
2000-03-03,112000,112000,103000,106500,79034.52344,665100
2000-03-06,106500,111500,106000,108500,80518.73438,572800
2000-03-07,109000,111500,108500,111000,82373.98438,446500
2000-03-08,111000,111500,106000,109000,80889.78125,711600
2000-03-09,111500,113500,105000,105000,77921.33594,1111700
2000-03-10,110000,110000,106000,107500,79776.61719,767700
2000-03-13,107500,108000,102500,103000,76437.13281,607400
2000-03-14,103000,105000,101000,101500,75323.98438,418600
2000-03-15,101500,102000,98000,100000,74210.83594,411300
2000-03-16,103500,104000,101000,103500,76808.17188,362800
2000-03-17,109000,110000,104000,106500,79034.52344,437600
2000-03-20,107500,108000,103000,104000,77179.25,183700
2000-03-21,104500,119000,104000,119000,88310.86719,643100
2000-03-22,119000,120000,113000,115500,85713.47656,452500
2000-03-23,115500,116500,105000,107500,79776.61719,348800
2000-03-24,108500,109000,105000,108000,80147.66406,257500
2000-03-27,107000,107000,102500,104000,77179.25,224000
2000-03-28,103000,104500,102000,102000,75695.01563,271800
2000-03-29,102000,106500,102000,106000,78663.46875,396500
2000-03-30,106500,115000,103500,108500,80518.73438,433500
2000-03-31,106500,112000,106500,106500,79034.52344,303000
2000-04-03,108000,108500,104000,106500,79034.52344,168400
2000-04-04,105000,109500,105000,109000,80889.78125,227600
2000-04-05,109000,109000,109000,109000,80889.78125,0
2000-04-06,108000,108000,104000,104000,77179.25,171000
2000-04-07,107000,107000,104000,104000,77179.25,201500
2000-04-10,104500,107500,103000,105000,77921.33594,341100
2000-04-11,106000,110000,104500,110000,81631.89063,280300
2000-04-12,107000,108500,105000,105000,77921.33594,299300
2000-04-13,105000,105000,105000,105000,77921.33594,0
2000-04-14,104000,105500,102500,103000,76437.13281,185900
2000-04-17,90000,99700,89200,97500,72355.53906,359600
2000-04-18,99500,100000,95600,99000,73468.71094,294200
2000-04-19,99000,99600,97000,98000,72726.59375,335700
2000-04-20,97000,98000,96500,96500,71613.42969,160400
2000-04-21,96700,97400,96000,96500,71613.42969,129800
2000-04-24,96500,97000,93000,93000,69016.0625,218500
2000-04-25,90100,92500,89300,89900,66715.51563,203000
2000-04-26,92000,92000,85700,86800,64414.98438,336600
2000-04-27,86800,88000,84600,85000,63079.1875,351700
2000-04-28,86000,87500,85000,86800,64414.98438,266900
2000-05-01,86800,86800,86800,86800,64414.98438,0
2000-05-02,88500,88500,86100,86700,64340.77734,347000
2000-05-03,86700,88300,86500,87700,65082.88281,273900
2000-05-04,88300,88300,86600,87500,64934.48828,262300
2000-05-05,87500,87500,87500,87500,64934.48828,0
2000-05-08,88600,90900,88600,90800,67383.41406,268400
2000-05-09,90800,90800,90800,90800,67383.41406,0
2000-05-10,92000,98400,91200,97000,71984.49219,519400
2000-05-11,97000,97000,97000,97000,71984.49219,0
2000-05-12,97000,98000,93600,95400,70797.10938,289000
2000-05-15,96500,99400,96200,96300,71465.02344,231000
2000-05-16,99000,99000,96500,98100,72800.80469,181800
2000-05-17,98500,99000,94300,94400,70055.01563,242100
2000-05-18,94400,95600,92500,93500,69387.10156,284700
2000-05-19,95000,95600,92200,94800,70351.85156,137400
2000-05-22,93000,94400,91000,91500,67902.89844,136300
2000-05-23,91000,93500,90800,91000,67531.83594,224700
2000-05-24,90500,90500,85500,88000,65305.51563,204100
2000-05-25,85200,89900,85200,87200,64711.83203,288200
2000-05-26,87200,87500,83300,84500,62708.12891,249000
