Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,300000,305500,283000,305500,267249.1875,1483900
2000-01-05,290000,303000,276000,279000,244067.2188,1493600
2000-01-06,287500,289000,279000,281000,245816.7813,1087800
2000-01-07,278000,283500,268000,277000,242317.6094,806100
2000-01-10,280000,288500,279000,288500,252377.7031,937600
2000-01-11,291000,305000,288500,288500,252377.7031,1194900
2000-01-12,280500,287000,280000,286000,250190.7813,584400
2000-01-13,280000,287000,278000,285500,249753.3438,823800
2000-01-14,286000,294000,284000,291500,255002.1719,987500
2000-01-17,300000,309000,296000,305000,266811.8125,1270100
2000-01-18,308000,308000,299000,305000,266811.8125,905200
2000-01-19,300000,302000,298000,298000,260688.25,804100
2000-01-20,293000,302000,291000,302000,264187.5,746300
2000-01-21,297500,299000,294000,294000,257189.1094,650700
2000-01-24,290000,295000,285000,285000,249316,687100
2000-01-25,276000,282000,272000,272000,237943.6719,885000
2000-01-26,275000,276000,270500,274000,239693.2188,585700
2000-01-27,274000,281000,271500,276000,241442.8281,558000
2000-01-28,282000,294000,277000,291000,254564.6875,766300
2000-01-31,282000,286500,278000,279000,244067.2188,792600
2000-02-01,280000,284000,263000,266000,232694.9219,1429400
2000-02-02,261000,268500,255500,262500,229633.125,1282100
2000-02-03,262500,273000,248500,256500,224384.3906,2855300
2000-02-04,256500,256500,256500,256500,224384.3906,0
2000-02-07,257000,266500,252000,262000,229195.7344,1282800
2000-02-08,267000,274000,265500,271500,237506.2656,1169200
2000-02-09,278000,286000,274000,286000,250190.7813,1021000
2000-02-10,283000,294000,280000,288000,251940.2969,1236900
2000-02-11,298000,298000,284000,285000,249316,693200
2000-02-14,280000,283000,267000,269000,235319.2656,882800
2000-02-15,269000,271000,257000,260000,227446.1563,766300
2000-02-16,259000,260000,239000,250000,218698.1875,1462300
2000-02-17,247000,255000,245500,254000,222197.4063,1303700
2000-02-18,268500,281500,258000,265000,231820.0938,2175000
2000-02-21,260000,263000,251500,253500,221760.0156,529700
2000-02-22,250000,262000,250000,256000,223946.9688,483600
2000-02-23,261000,263000,255000,257000,224821.7813,554400
2000-02-24,256000,262000,253000,253500,221760.0156,521500
2000-02-25,254000,257500,249000,256000,223946.9688,557500
2000-02-28,250000,252500,240000,240000,209950.2969,602800
2000-02-29,245000,257000,242000,256000,223946.9688,1036400
2000-03-01,256000,256000,256000,256000,223946.9688,0
2000-03-02,294000,294000,276000,294000,257189.1094,2355000
