Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,34150.89844,39245.30078,34150.89844,38207.60156,29185.98633,271254
2000-01-05,38207.60156,38679.19922,36320.80078,36320.80078,27744.69922,268074
2000-01-06,36886.80078,37217,33018.89844,33396.19922,25510.65625,214438
2000-01-07,33679.19922,34717,33679.19922,34717,26519.58789,260336
2000-01-10,36792.5,39905.69922,35943.39844,39905.69922,30483.12891,789488
2000-01-11,40094.30078,40566,38207.60156,39056.60156,29834.51563,1006682
2000-01-12,37641.5,38207.60156,35471.69922,35566,27168.12109,551518
2000-01-13,36792.5,38679.19922,36132.10156,37641.5,28753.55469,598794
2000-01-14,38113.19922,38396.19922,36320.80078,36367.89844,27780.67383,311322
2000-01-17,35943.39844,37075.5,35377.39844,36981.10156,28249.08398,281218
2000-01-18,36132.10156,36367.89844,34669.80078,36132.10156,27600.55078,692286
2000-01-19,35377.39844,35471.69922,34245.30078,34339.60156,26231.29688,269664
2000-01-20,33396.19922,35283,32924.5,33962.30078,25943.08789,379374
2000-01-21,33490.60156,35188.69922,33207.60156,35188.69922,26879.90625,395168
2000-01-24,34434,34905.69922,33443.39844,33490.60156,25582.76953,399302
2000-01-25,33018.89844,33301.89844,31981.09961,31981.09961,24429.68945,337822
2000-01-26,32075.5,32924.5,29905.69922,30660.40039,23420.83594,550988
2000-01-27,30188.69922,33301.89844,29811.30078,32075.5,24501.80078,733732
2000-01-28,32169.80078,34339.60156,31698.09961,33066,25258.42578,719104
2000-01-31,32264.19922,36792.5,32122.59961,36792.5,28105.02148,742954
2000-02-01,37735.89844,38584.89844,35990.60156,36462.30078,27852.7832,649674
2000-02-02,36320.80078,41415.10156,36320.80078,40566,30987.51563,1449550
2000-02-03,41226.39844,45518.89844,40849.10156,44245.30078,33798.05859,1831150
2000-02-04,44245.30078,44245.30078,44245.30078,44245.30078,33798.05859,0
2000-02-07,42547.19922,44811.30078,41603.80078,42452.80078,32428.80273,934284
2000-02-08,42358.5,44245.30078,41509.39844,42264.19922,32284.73047,534240
2000-02-09,43113.19922,43113.19922,41556.60156,42264.19922,32284.73047,651052
