Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,518699,555449,508200,540749,307182.0313,441710
2000-01-05,507150,523949,477750,485100,275569.625,353062
2000-01-06,493500,499800,454650,459900,261254.3438,310910
2000-01-07,445200,470400,436800,455700,258868.4063,499629
2000-01-10,462000,468300,451500,451500,256482.5156,382933
2000-01-11,462000,489300,459900,468300,266026.0625,536614
2000-01-12,462000,487200,457800,474600,269604.9063,329357
2000-01-13,483000,494550,472500,493500,280341.4063,532410
2000-01-14,509250,516599,474600,478800,271990.8125,587524
2000-01-17,497700,536549,491400,522899,297042.0313,975010
2000-01-18,525000,539699,505050,525000,298235.5313,694338
2000-01-19,525000,537599,514500,514500,292270.8125,634600
2000-01-20,511350,566999,500850,566999,322093.8125,1155924
2000-01-21,556499,596399,554399,558599,317322.0313,1487562
2000-01-24,575399,584849,562799,566999,322093.8125,582557
2000-01-25,556499,562799,541799,543899,308971.4688,497452
2000-01-26,549149,558599,541799,555449,315532.625,433724
2000-01-27,556499,562799,535499,545999,310164.375,428171
2000-01-28,545999,587999,541799,581699,330444.4063,803938
2000-01-31,568049,573299,552299,554399,314936.1563,612624
2000-02-01,545999,552299,514500,514500,292270.8125,929805
2000-02-02,513450,514500,487200,501900,285113.1875,769986
2000-02-03,495600,506100,477750,484050,274973.1875,756657
2000-02-04,484050,484050,484050,484050,274973.1875,0
2000-02-07,475650,496650,468300,483000,274376.6875,640019
2000-02-08,497700,509250,491400,500850,284516.6875,541881
2000-02-09,506100,510300,487200,491400,279148.4063,324605
2000-02-10,483000,500850,478800,489300,277955.5625,405710
2000-02-11,494550,498750,464100,468300,266026.0625,381419
2000-02-14,451500,458850,436800,438900,249324.9375,436424
2000-02-15,447300,455700,432600,448350,254693.125,405762
2000-02-16,448350,451500,417900,438900,249324.9375,452686
2000-02-17,420000,430500,415800,426300,242167.2813,507390
2000-02-18,424200,437850,421050,426300,242167.2813,498343
2000-02-21,413700,415800,389550,390600,221887.2344,447938
2000-02-22,384300,388500,362250,367500,208764.9063,546819
2000-02-23,386400,414750,370650,390600,221887.2344,548567
2000-02-24,369600,383250,365400,370650,210554.2813,278381
2000-02-25,370650,381150,359100,369600,209957.8281,298333
2000-02-28,352800,360150,327600,327600,186098.9688,344638
2000-02-29,354900,375900,342300,375900,213536.6563,584424
2000-03-01,375900,375900,375900,375900,213536.6563,0
2000-03-02,431550,431550,431550,431550,245149.5938,122129
2000-03-03,495600,495600,458850,495600,281534.3125,1321448
2000-03-06,485100,492450,459900,466200,264833.125,532429
2000-03-07,462000,483000,451500,471450,267815.5,318176
2000-03-08,451500,490350,451500,484050,274973.1875,409676
2000-03-09,485100,493500,472500,472500,268412.0313,297305
2000-03-10,483000,487200,434700,444150,252307.25,271419
2000-03-13,426300,430500,391650,396900,225466.0469,367238
2000-03-14,405300,432600,399000,413700,235009.5938,351143
2000-03-15,399000,438900,394800,431550,245149.5938,315548
2000-03-16,447300,449400,414750,422100,239781.375,272667
2000-03-17,434700,446250,430500,436800,248131.9688,262210
2000-03-20,462000,473550,453600,466200,264833.125,420262
2000-03-21,468300,480900,456750,476700,270797.8438,389205
2000-03-22,480900,510300,476700,504000,286306.0938,576876
2000-03-23,514500,534449,483000,483000,274376.6875,615052
2000-03-24,504000,555449,487200,530250,301217.875,1051505
2000-03-27,536549,548099,508200,525000,298235.5313,652871
2000-03-28,535499,561749,525000,543899,308971.4688,723905
2000-03-29,543899,577499,535499,560699,318514.9688,819195
2000-03-30,554399,554399,522899,535499,304199.6563,513781
2000-03-31,515550,545999,515550,516599,293463.1875,374162
2000-04-03,527100,550199,521849,533399,303006.7188,401957
2000-04-04,525000,540749,506100,520799,295849.0625,229162
2000-04-05,520799,520799,520799,520799,295849.0625,0
2000-04-06,532349,535499,491400,491400,279148.4063,331538
2000-04-07,499800,518699,499800,513450,291674.375,298214
2000-04-10,516599,530250,507150,517649,294059.6563,289195
2000-04-11,510300,511350,496650,504000,286306.0938,170076
2000-04-12,504000,516599,493500,509250,289288.4063,196162
2000-04-13,509250,509250,509250,509250,289288.4063,0
2000-04-14,485100,493500,462000,474600,269604.9063,229343
2000-04-17,406350,429450,404250,404250,229641.3125,350843
2000-04-18,459900,463050,428400,456750,259464.9063,513195
2000-04-19,477750,492450,452550,468300,266026.0625,318386
2000-04-20,462000,475650,455700,462000,262447.2188,147876
2000-04-21,476700,478800,451500,451500,256482.5156,209995
2000-04-24,441000,457800,432600,453600,257675.5156,252119
2000-04-25,441000,447300,434700,439950,249921.3594,172529
2000-04-26,451500,456750,374850,374850,212940.1719,1469348
2000-04-27,346500,357000,319200,339150,192660.1563,1993410
2000-04-28,347550,376950,346500,369600,209957.8281,1105952
2000-05-01,369600,369600,369600,369600,209957.8281,0
2000-05-02,357000,380100,349650,365400,207571.9219,647105
2000-05-03,363300,380100,355950,365400,207571.9219,473233
2000-05-04,369600,382200,361200,367500,208764.9063,508262
2000-05-05,367500,367500,367500,367500,208764.9063,0
2000-05-08,375900,386400,368550,374850,212940.1719,421371
2000-05-09,374850,374850,374850,374850,212940.1719,0
2000-05-10,359100,364350,357000,359100,203993.0938,200276
2000-05-11,359100,359100,359100,359100,203993.0938,0
2000-05-12,359100,363300,341250,344400,195642.5,211690
2000-05-15,357000,374850,348600,351750,199817.7969,454619
2000-05-16,354900,368550,352800,367500,208764.9063,297152
2000-05-17,378000,387450,362250,369600,209957.8281,405814
2000-05-18,354900,366450,351750,359100,203993.0938,190552
2000-05-19,357000,359100,347550,357000,202800.1563,207438
2000-05-22,350700,355950,342300,342300,194449.5938,157476
2000-05-23,327600,345450,327600,337050,191467.2031,173071
2000-05-24,327600,346500,315000,336000,190870.7344,261843
2000-05-25,355950,364350,340200,353850,201010.7031,829414
2000-05-26,340200,344400,310800,317100,180134.25,393848
2000-05-29,276150,310800,269850,290850,165222.4688,706686
2000-05-30,290850,290850,290850,290850,165222.4688,0
2000-05-31,354900,383250,347550,369600,209957.8281,838033
2000-06-01,369600,394800,357000,378000,214729.5625,565395
2000-06-02,409500,409500,384300,390600,221887.2344,492267
2000-06-05,407400,414750,396900,406350,230834.2656,425195
2000-06-06,406350,406350,406350,406350,230834.2656,0
2000-06-07,403200,424200,395850,415800,236202.5469,514267
2000-06-08,422100,475650,420000,439950,249921.3594,1091210
2000-06-09,441000,470400,439950,470400,267219.0313,490043
2000-06-12,478800,493500,457800,462000,262447.2188,414800
2000-06-13,451500,455700,430500,434700,246939.0156,278195
