Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,390100,405000,347000,380000,282578.125,359000
2000-01-05,323000,365000,323000,323000,240191.3906,572000
2000-01-06,350000,352000,322500,328700,244430.0781,418000
2000-01-07,308000,350000,307000,336000,249858.5781,342000
2000-01-10,360000,383000,355000,370000,275141.9063,270000
2000-01-11,365000,378000,347000,351000,261012.9375,258000
2000-01-12,330000,345000,318000,330000,245396.8281,205000
2000-01-13,339500,345000,320100,332800,247478.9531,285000
2000-01-14,341200,355000,332800,340000,252833.0781,221000
2000-01-17,346000,390000,346000,381400,283619.2813,224000
2000-01-18,398000,398000,375500,385000,286296.3125,224000
2000-01-19,379000,389000,362000,385000,286296.3125,278000
2000-01-20,373500,383000,349800,368000,273654.6875,314000
2000-01-21,365000,365000,345300,350500,260641.2031,280000
2000-01-24,345000,400000,340500,381000,283321.75,320000
2000-01-25,364500,377900,357100,360100,267780,194000
2000-01-26,357000,369000,349200,350100,260343.7344,235000
2000-01-27,350000,357000,348000,357000,265474.7188,171000
2000-01-28,367000,380000,363400,377000,280347.2813,218000
2000-01-31,370000,383000,367700,378000,281090.9375,185000
2000-02-01,378000,384100,360000,366500,272539.1563,188000
2000-02-02,375000,375000,364000,366500,272539.1563,142000
2000-02-03,366500,382000,366500,380000,282578.125,123000
2000-02-04,380000,380000,380000,380000,282578.125,0
2000-02-07,381000,401000,381000,394900,293658.25,273000
2000-02-08,394900,399000,385000,385000,286296.3125,146000
2000-02-09,380000,425000,380000,418000,310836,361000
2000-02-10,430000,480700,423000,450000,334632.0313,518000
2000-02-11,500000,507000,407000,467500,347645.5313,394000
2000-02-14,450000,477800,450000,460000,342068.3125,220000
2000-02-15,459900,459900,420000,420000,312323.2813,255000
2000-02-16,410000,420000,400000,420000,312323.2813,267000
2000-02-17,410000,432000,410000,421100,313141.2188,171000
2000-02-18,421100,445000,380000,380000,282578.125,182000
2000-02-21,400100,422000,396000,409100,304217.6875,236000
2000-02-22,421400,440000,414000,431300,320726.1875,145000
2000-02-23,432000,449000,401000,438000,325708.5313,304000
2000-02-24,440000,457000,430200,434100,322808.375,167000
2000-02-25,434100,452000,429100,445200,331062.6563,220000
2000-02-28,452900,452900,420000,420000,312323.2813,251000
2000-02-29,437000,439000,411000,420000,312323.2813,280000
2000-03-01,420000,420000,420000,420000,312323.2813,0
2000-03-02,483000,483000,430000,475000,353222.6563,336000
2000-03-03,470000,487000,450100,470000,349504.5625,206000
2000-03-06,474600,485000,470000,481000,357684.4688,167000
2000-03-07,488000,488000,466000,473000,351735.4375,165000
2000-03-08,468900,473000,462000,473000,351735.4375,106000
2000-03-09,475500,476300,440000,440000,327195.75,377000
2000-03-10,455000,458800,445000,455000,338350.1875,210000
2000-03-13,431100,441000,420000,430000,319759.5313,179000
2000-03-14,401000,427000,401000,412200,306522.9375,130000
2000-03-15,403000,409900,381100,400000,297450.6875,255000
2000-03-16,403600,416000,390000,410000,304886.9688,218000
2000-03-17,420000,440000,413000,414000,307861.4375,247000
2000-03-20,404000,410000,379900,385000,286296.3125,175000
2000-03-21,390000,405000,363000,399800,297301.9688,205000
2000-03-22,392000,408000,392000,395500,294104.3438,170000
2000-03-23,390000,400000,381100,385500,286668.1563,116000
2000-03-24,391000,393000,380000,381600,283768,114000
2000-03-27,380000,381000,370000,373300,277595.8125,148000
2000-03-28,368000,380000,362000,362100,269267.25,174000
2000-03-29,355000,393500,350100,392000,291501.7188,294000
2000-03-30,389000,389000,375000,381100,283396.2188,179000
2000-03-31,367000,380000,360000,360000,267705.625,186000
2000-04-03,365100,366000,318000,335000,249114.9688,208000
2000-04-04,310000,334500,297000,315100,234316.7969,399000
2000-04-05,315100,315100,315100,315100,234316.7969,0
2000-04-06,314900,327000,303000,305000,226806.1406,237000
2000-04-07,310000,335000,310000,334800,248966.2188,196000
2000-04-10,360000,380000,351000,379000,281834.5,289000
2000-04-11,369000,379000,355000,379000,281834.5,189000
2000-04-12,357000,360000,345000,350000,260269.375,262000
2000-04-13,350000,350000,350000,350000,260269.375,0
2000-04-14,321000,330000,308000,310000,230524.2969,322000
2000-04-17,263600,288000,263500,263500,195945.6563,566000
2000-04-18,299900,300000,265000,280000,208215.4844,606000
2000-04-19,305000,310000,288000,294000,218626.2813,659000
2000-04-20,294000,294000,294000,294000,218626.2813,0
2000-04-21,294000,294000,294000,294000,218626.2813,0
2000-04-24,305000,326000,301000,302000,224575.25,389000
2000-04-25,290000,298000,283000,290000,215651.75,196200
2000-04-26,304500,306000,285000,286000,212677.25,279900
2000-04-27,262000,280000,261000,271000,201522.8281,355000
2000-04-28,278000,297000,278000,295000,219369.9063,360400
2000-05-01,295000,295000,295000,295000,219369.9063,0
2000-05-02,310000,339000,301000,339000,252089.4844,677600
2000-05-03,339000,350000,333000,340000,252833.0781,602300
2000-05-04,335000,344000,326000,337000,250602.1875,267900
2000-05-05,337000,337000,337000,337000,250602.1875,0
2000-05-08,349000,360000,343500,350000,260269.375,341900
2000-05-09,350000,350000,350000,350000,260269.375,0
2000-05-10,344000,344000,334000,334000,248371.3438,207200
2000-05-11,334000,334000,334000,334000,248371.3438,0
2000-05-12,336000,339000,323000,328000,243909.5781,222100
2000-05-15,319000,326000,311000,316000,234986.0313,171500
2000-05-16,315000,332000,315000,332000,246884.0625,237900
2000-05-17,342000,344000,325000,325000,241678.7188,252200
2000-05-18,315000,340000,313000,340000,252833.0781,330900
2000-05-19,350000,388500,337000,381000,283321.75,696100
2000-05-22,362000,369500,338000,350000,260269.375,452000
2000-05-23,339000,359000,337000,338000,251345.8438,402600
2000-05-24,331000,342000,309500,328000,243909.5781,293000
2000-05-25,365000,371000,339000,355000,263987.4688,466100
2000-05-26,353000,355000,341000,345000,256551.25,285000
2000-05-29,332000,347000,332000,337000,250602.1875,163900
2000-05-30,337000,337000,337000,337000,250602.1875,0
2000-05-31,361000,385000,354000,385000,286296.3125,532800
2000-06-01,379000,409000,376000,406000,301912.4688,550000
2000-06-02,416000,426000,394000,398000,295963.4375,510000
2000-06-05,418000,418000,389000,394000,292988.9375,298400
2000-06-06,394000,394000,394000,394000,292988.9375,0
2000-06-07,390000,400000,383000,400000,297450.6875,344400
2000-06-08,400000,400000,375000,377000,280347.2813,395800
2000-06-09,371000,399500,371000,399000,296707.125,440700
2000-06-12,395000,400000,392000,395000,293732.5938,218700
2000-06-13,393000,393000,380000,384000,285552.6563,187600
2000-06-14,384500,387000,366500,376000,279603.6563,295200
2000-06-15,379500,379500,356500,357500,265846.5938,352600
2000-06-16,348000,357500,347000,352000,261756.5938,271700
2000-06-19,344000,366500,343000,355000,263987.4688,189600
2000-06-20,356000,364000,353500,359500,267333.7813,162200
2000-06-21,363000,364500,356000,358500,266590.1563,144000
2000-06-22,363000,370000,350500,360000,267705.625,180000
2000-06-23,350000,354000,348000,352000,261756.5938,155700
2000-06-26,348000,356000,344000,356000,264731.0938,118200
2000-06-27,356000,359500,352500,355000,263987.4688,123100
2000-06-28,351000,359000,345500,355000,263987.4688,301000
2000-06-29,362000,376000,356500,368500,274026.4063,336600
2000-06-30,361500,370000,360000,365000,271423.7188,201900
2000-07-03,363000,375000,360000,368000,273654.6875,228100
2000-07-04,370000,372000,353000,358000,266218.375,157200
2000-07-05,356000,365000,354500,364500,271051.9063,113500
2000-07-06,360000,373000,355500,371000,275885.5313,180700
2000-07-07,372000,378500,369000,371000,275885.5313,164000
2000-07-10,373000,388500,373000,376500,279975.4688,247900
2000-07-11,382000,382000,367000,367000,272911,156400
2000-07-12,363000,370000,363000,364500,271051.9063,117200
2000-07-13,369500,381000,366500,379000,281834.5,268600
2000-07-14,384000,387000,377000,378000,281090.9375,219900
2000-07-17,378000,378000,378000,378000,281090.9375,0
2000-07-18,378000,385000,372000,379000,281834.5,141500
2000-07-19,378000,385000,372000,379000,281834.5,141500
2000-07-20,370000,376000,365000,370000,275141.9063,141700
2000-07-21,375000,375000,367000,369500,274770.0313,101900
2000-07-24,360000,362000,339000,344500,256179.375,129700
2000-07-25,339000,350000,334500,346000,257294.8594,139100
2000-07-26,346000,346000,320000,339000,252089.4844,207300
2000-07-27,331000,334500,318000,320000,237960.5625,205100
2000-07-28,292000,300000,279000,279000,207471.875,385300
2000-07-31,275000,279000,260000,278000,206728.25,356200
2000-08-01,275000,292000,269000,290000,215651.75,393700
2000-08-02,287000,296500,282000,294500,218998.0781,194300
2000-08-03,294000,297500,290000,292000,217138.9844,160700
2000-08-04,287500,290000,274000,280000,208215.4844,216900
2000-08-07,263000,269000,250500,250500,186278.4844,294300
2000-08-08,247500,254000,236000,239000,177726.7969,394900
2000-08-09,251000,274500,246000,274500,204125.5313,539100
2000-08-10,275000,286500,261000,286500,213049.0781,559100
2000-08-11,276000,295000,275000,289500,215279.9375,384700
2000-08-14,298000,299000,285000,288000,214164.5,177800
2000-08-15,288000,288000,288000,288000,214164.5,0
2000-08-16,285000,295000,285000,293000,217882.6719,175700
2000-08-17,290000,292000,283000,285000,211933.625,139400
